project_code,color
accp,#FF0000FF
angers,#FF9900FF
barnes_2017,#FFCC00FF
divittorio_conifer,#00FF00FF
ecosis_californiatraits,#6699FFFF
ecosis_cedarcreek_biodiversity,#CC33FFFF
ecosis_cornvarieties,#99991EFF
ecosis_hawaii2000,#999999FF
ecosis_milkweed_stress,#FF00CCFF
ecosis_missoulats,#CC0000FF
ecosis_pepper,#FFCCCCFF
ecosis_pvy_solanum,#FFFF00FF
ecosis_santamonica,#CCFF00FF
ecosis_soybean_aphid,#358000FF
ecosis_spectral_variation_leafcanopy,#0000CCFF
foster_beetle,#99CCFFFF
lopex,#00FFFFFF
nasa_fft,#CCFFFFFF
nasa_hyspiri,#9900CCFF
ngee_arctic,#CC99FFFF
ngee_tropics,#996600FF
wu_brazil,#666600FF
yang_pheno,#666666FF
